Plant group,Genus,Species,Ploidy level,1C (pg),Original Reference,Paper
Algae,Ostreococcus,tauri,,0.01,"Derelle et al., 2004 (Ref. 6)",2004a
Algae,Galdieria,sulphuraria,,0.01,"Muravenko et al., 2001 (Ref. 34)",2001
Algae,Cyanidium,caldarium,,0.01,"Muravenko et al., 2001 (Ref. 34)",2001
Algae,Galdieria,partita,,0.02,"Muravenko et al., 2001 (Ref. 34)",2001
Algae,Cyanidioschyzon,merolae,,0.02,"Matsuzaki et al., 2004 (Ref. 33)",2004b
Algae,Galdieria,maxima,,0.03,"Muravenko et al., 2001 (Ref. 34)",2001
Algae,Heydrichia,wolkerlingii,,0.05,"Bailey and Kapraun, 2000 (Ref. 1)",2005
Angiosperm,Genlisea,margaretae,,0.06,"Greilhuber et al., 2006 (Ref. 535)",2011
Angiosperm,Genlisea,aurea,,0.06,"Greilhuber et al., 2006 (Ref. 535)",2011
Pteridophyte,Selaginella,apoda,2,0.09,"Little et al., 2007 (Ref. 14)",2007
Pteridophyte,Selaginella,vogelii (?),,0.09,"Little et al., 2007 (Ref. 14)",2007
Pteridophyte,Selaginella,pallescens,2,0.09,"Little et al., 2007 (Ref. 14)",2007
Pteridophyte,Selaginella,moellendorffii,2,0.09,"Little et al., 2007 (Ref. 14)",2007
Angiosperm,Utricularia,gibba,,0.09,"Greilhuber et al., 2006 (Ref. 535)",2011
Pteridophyte,Selaginella,uncinata,2,0.09,"Little et al., 2007 (Ref. 14)",2007
Pteridophyte,Selaginella,involvens,2,0.09,"Little et al., 2007 (Ref. 14)",2007
Pteridophyte,Selaginella,pulcherrima,2,0.09,"Little et al., 2007 (Ref. 14)",2007
Angiosperm,Fragaria,viridis,2,0.1,"Antonius and Ahokas, 1996 (Ref. 339)",2000
Algae,Heydrichia,sp.,,0.1,"Bailey and Kapraun, 2000 (Ref. 1)",2005
Algae,Leptophytum,ferox,,0.1,"Bailey and Kapraun, 2000 (Ref. 1)",2005
Algae,Mesophyllum,discrepans,,0.1,"Bailey and Kapraun, 2000 (Ref. 1)",2005
Algae,Chaetomorpha,aerea,,0.1,"Hinson and Kapraun, 1991 (Ref. 9)",2005
Algae,Hypnea,musciformis,,0.1,"Kapraun et al., 1994 (Ref. 10)",2005
Algae,Hinksia,irregularis,,0.1,"Kapraun, 2005 (Ref. 23)",2005
Algae,Stilophora,rhizodes,,0.1,"Kapraun, 2005 (Ref. 23)",2005
Algae,Compsopogon,coerulus,,0.1,"Kapraun, 2005 (Ref. 23)",2005
Algae,Caulerpa,mexicana,,0.1,"Kapraun, 1994 (Ref. 24)",2005
Algae,Caulerpa,paspaloides,,0.1,"Kapraun, 1994 (Ref. 24)",2005
Algae,Caulerpa,verticillata,,0.1,"Kapraun, 1994 (Ref. 24)",2005
Algae,Trichosolen,duchessangii,,0.1,"Kapraun, 1994 (Ref. 24)",2005
Algae,Enteromorpha,compressa,,0.1,"Le Gall et al., 1993 (Ref. 29)",2005
Pteridophyte,Selaginella,braunii,2,0.1,"Little et al., 2007 (Ref. 14)",2007
Algae,Punctaria,tennuissima,,0.11,"Kapraun, 2005 (Ref. 23)",2005
Algae,Chondrus,crispus,,0.13,"Kapraun, 2005 (Ref. 23)",2005
Algae,Kappaphycus,alvarezii,,0.13,"Kapraun and Lopez-Bautista, 1996 (Ref. 25)",2005
Angiosperm,Utricularia,blanchetii,,0.14,"Greilhuber et al., 2006 (Ref. 535)",2011
Pteridophyte,Selaginella,helvetica,,0.14,"Siljak-Yakovlev, 2010 (Ref. 21)",2010b
Angiosperm,Utricularia,parthenopipes,,0.14,"Greilhuber et al., 2006 (Ref. 535)",2011
Angiosperm,Sedum,album,2,0.15,"Hart, 1991 (Ref. 398)",2005a
Angiosperm,Thlaspi,alpestre,2,0.15,"Band, 1984 (Ref. 154)",1991
Angiosperm,Epilobium,palustre,2,0.15,"Band, 1984 (Ref. 154)",1991
Angiosperm,Carex,paxii,2,0.15,"Nishikawa et al., 1984 (Ref. 357)",2000
Angiosperm,Carex,nubigera,2,0.15,"Nishikawa et al., 1984 (Ref. 357)",2000
Angiosperm,Hypericum,hirsutum,,0.15,"Hanson et al., 2002 (Ref. 465)",2005a
Algae,Spongites,yendoi,,0.15,"Bailey and Kapraun, 2000 (Ref. 1)",2005
Algae,Chaetomorpha,brachygona,,0.15,"Hinson and Kapraun, 1991 (Ref. 9)",2005
Algae,Lomentaria,baileyana,,0.15,"Kapraun and Dunwoody, 2002 (Ref. 11)",2005
Algae,Ulva,rigida,,0.15,"Kapraun and Bailey, 1992 (Ref. 12)",2005
Algae,Gelidiella,acerosa,,0.15,"Kapraun et al., 1994 (Ref. 17)",2005
Algae,Striaria,attenuata,,0.15,"Kapraun, 2005 (Ref. 23)",2005
Algae,Ahnfeltiopsis,concinna,,0.15,"Kapraun, 2005 (Ref. 23)",2005
Algae,Caulerpa,prolifera,,0.15,"Kapraun, 1994 (Ref. 24)",2005
Algae,Eucheuma,denticulatum,,0.15,"Kapraun and Lopez-Bautista, 1996 (Ref. 25)",2005
Algae,Gracilaria,verrucosa,,0.15,"Kapraun, 1993 (Ref. 26)",2005
Algae,Gymnogongrus,griffithsiae,,0.15,"Kapraun et al., 1993 (Ref. 15)",2005
Angiosperm,Arabidopsis,thaliana,2,0.16,"Bennett et al., 2003 (Ref. 461)",2005a
Angiosperm,Utricularia,quelchii,,0.16,"Greilhuber et al., 2006 (Ref. 535)",2011
Angiosperm,Utricularia,praelonga,,0.16,"Greilhuber et al., 2006 (Ref. 535)",2011
Pteridophyte,Selaginella,kraussiana,2,0.16,"Obermayer et al., 2002 (Ref. 9)",2002a
Angiosperm,Amoreuxia,wrightii,2,0.17,"Hanson et al., 2001 (Ref. 378)",2005a
Angiosperm,Hornungia,petraea,2,0.17,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Torenia,baillonii,2,0.17,"Kikuchi et al., 2006 (Ref. 596)",2011
Bryophyte,Holomitrium,arboreum,,0.17,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Aruncus,dioicus,2,0.17,"Temsch et al., 2010 (Ref. 627)",2012
Algae,Cladosiphon,occidentalis,,0.18,"Kapraun, 2005 (Ref. 23)",2005
Angiosperm,Torenia,fournieri,2,0.18,"Kikuchi et al., 2006 (Ref. 596)",2011
Angiosperm,Utricularia,australis,,0.18,"Greilhuber et al., 2006 (Ref. 535)",2011
Angiosperm,Dissotis,canescens,,0.19,"Hanson et al., 2001 (Ref. 378)",2005a
Angiosperm,Canotia,holacantha,2,0.19,"Hanson et al., 2001 (Ref. 378)",2005a
Angiosperm,Roridula,gorgonias,2,0.19,"Hanson et al., 2001 (Ref. 379)",2005a
Angiosperm,Pritzelago,alpina,,0.19,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Corchorus,fascicularis,2,0.19,"Sarkar et al., 2011 (Ref. 676)",2012
Angiosperm,Bixa,orellana,2,0.2,"Hanson et al., 2001 (Ref. 379)",2005a
Angiosperm,Valerianella,turgida,2,0.2,"Hidalgo et al., 2010 (Ref. 638)",2012
Angiosperm,Corchorus,aestuans,2,0.2,"Sarkar et al., 2011 (Ref. 676)",2012
Angiosperm,Ruta,montana,,0.2,"Guerra M dos S., 1984 (Ref. 140)",1991
Angiosperm,Betula,populifolia,2,0.2,"Olszewska and Osiecka, 1984 (Ref. 157)",1991
Angiosperm,Spiraea,chinensis,2,0.2,"Dickson et al., 1992 (Ref. 262)",1995
Angiosperm,Physocarpus,opulifolius,2,0.2,"Dickson et al., 1992 (Ref. 262)",1995
Algae,Titanoderma,polycephalum,,0.2,"Bailey and Kapraun, 2000 (Ref. 1)",2005
Algae,Gelidium,serrulatum,,0.2,"Freshwater, 1993 (Ref. 7)",2005
Algae,Champia,parvula,,0.2,"Kapraun and Dunwoody, 2002 (Ref. 11)",2005
Algae,Gracilaria,firma,,0.2,"Kapraun et al., 1996 (Ref. 20)",2005
Algae,Gracilaria,arcuata,,0.2,"Kapraun et al., 1996 (Ref. 20)",2005
Algae,Gracilaria,bailinae,,0.2,"Kapraun et al., 1996 (Ref. 20)",2005
Algae,Gracilaria,salicornia,,0.2,"Kapraun et al., 1996 (Ref. 20)",2005
Algae,Hydropuntia,fastigiata,,0.2,"Kapraun et al., 1996 (Ref. 20)",2005
Algae,Gracilaria,eucheumoides,,0.2,"Kapraun et al., 1996 (Ref. 20)",2005
Algae,Gracilaria,sp.,,0.2,"Kapraun, 2005 (Ref. 23)",2005
Algae,Dumontia,contorta,,0.2,"Kapraun, 2005 (Ref. 23)",2005
Algae,Turbinaria,ornata,,0.2,"Kapraun, 2005 (Ref. 23)",2005
Algae,Sargassum,fluitans,,0.2,"Kapraun, 2005 (Ref. 23)",2005
Algae,Soliera,filiformis,,0.2,"Kapraun, 2005 (Ref. 23)",2005
Algae,Derbesia,tenuissima,,0.2,"Kapraun, 2005 (Ref. 23)",2005
