drug,final_growth,phenotype,ESS 3-10,RSS 26-1,Wildtype
dmso.A.OmM,63.6329370312875,Green,38.7795317540741,NA,NA
dmso.A.OmM,67.6818024414518,Green,NA,NA,38.9017146648086
dmso.A.OmM,68.0845804575516,Green,38.9220651462826,NA,NA
dmso.A.OmM,68.5532390190529,Green,38.5936631000466,NA,NA
dmso.A.OmM,68.9144401623272,Green,37.1327218721928,NA,NA
dmso.A.OmM,69.1891367594566,Green,NA,38.9457826806307,NA
dmso.A.OmM,69.2918008248941,Green,NA,NA,39.593683993106
dmso.A.OmM,69.3378409049021,Green,37.2281884554625,NA,NA
dmso.A.OmM,69.5519681614162,Green,38.9283056254669,NA,NA
dmso.A.OmM,69.7414794769087,Green,39.5934517506601,NA,NA
dmso.A.OmM,69.8831209769678,Green,39.4529562803271,NA,NA
dmso.A.OmM,69.8842498305496,Green,36.0961863560067,NA,NA
dmso.A.OmM,70.7075623185706,Green,36.5907649055606,NA,NA
dmso.A.OmM,71.1869522326118,Green,NA,NA,41.229627804913
dmso.A.OmM,71.2836580932392,Green,36.0989581095915,NA,NA
dmso.A.OmM,71.4371975614116,Green,NA,43.769108475517,NA
dmso.A.OmM,71.6618545969914,Green,37.5091987678099,NA,NA
dmso.A.OmM,71.8117069303859,Green,37.3518466783124,NA,NA
dmso.A.OmM,71.8823964802907,Green,37.1468809346874,NA,NA
dmso.A.OmM,71.9219329487612,Green,39.9533942863734,NA,NA
dmso.A.OmM,72.2017491335756,Green,39.7230979218696,NA,NA
dmso.A.OmM,72.3515144700318,Green,38.3177802980589,NA,NA
dmso.A.OmM,72.9417357405585,Green,NA,NA,40.4537779550707
dmso.A.OmM,73.2119865079589,Green,38.7107417384332,NA,NA
dmso.A.OmM,73.4888877524361,Green,39.2226422736515,NA,NA
dmso.A.OmM,73.6874812535632,Green,38.2351787302828,NA,NA
dmso.A.OmM,73.7153721236778,Green,38.9390355509951,NA,NA
dmso.A.OmM,73.8544084180204,Green,NA,40.7230321131379,NA
dmso.A.OmM,73.8897612033916,Green,39.4168869609397,NA,NA
dmso.A.OmM,74.0464045305838,Green,38.2082269234634,NA,NA
dmso.A.OmM,74.064053406727,Green,38.2366939847915,NA,NA
dmso.A.OmM,74.0917084705055,Green,38.989592173213,NA,NA
dmso.A.OmM,74.1324497596126,Green,37.8028361064467,NA,NA
dmso.A.OmM,74.230885992161,Green,38.6773644550004,NA,NA
dmso.A.OmM,74.5327574605678,Green,NA,NA,37.9481383044574
dmso.A.OmM,74.5922697126509,Green,36.811165306461,NA,NA
dmso.A.OmM,74.6771043475636,Green,NA,38.3868027401323,NA
dmso.A.OmM,74.7341391489106,Green,NA,40.7213725705061,NA
dmso.A.OmM,74.8400221914573,Green,NA,NA,40.2194855703749
dmso.A.OmM,74.85698489523,Green,NA,39.758283620308,NA
dmso.A.OmM,74.9442755652043,Green,37.1217042441265,NA,NA
dmso.A.OmM,74.9604140680049,Green,NA,NA,38.7473361434843
dmso.A.OmM,74.9968177651615,Green,NA,40.078473824004,NA
dmso.A.OmM,75.3149402822626,Green,37.7865252905169,NA,NA
dmso.A.OmM,75.3344789017349,Green,NA,39.7991255699277,NA
dmso.A.OmM,75.3421899880314,Green,NA,39.0551206930583,NA
dmso.A.OmM,75.503077652637,Green,NA,39.8379278025413,NA
dmso.A.OmM,75.5400870923119,Green,NA,36.9077381922297,NA
dmso.A.OmM,75.6650769284442,Green,NA,NA,41.9635280047168
dmso.A.OmM,75.7032850393413,Green,39.3283760228622,NA,NA
dmso.A.OmM,75.8946268346502,Green,NA,NA,39.8657959582046
dmso.A.OmM,75.9217809666152,Green,NA,38.8771750515091,NA
dmso.A.OmM,76.1253535958986,Green,37.6634321805512,NA,NA
dmso.A.OmM,76.1400641277791,Green,NA,NA,38.9334909446076
dmso.A.OmM,76.2001749967699,Green,NA,39.0087689189906,NA
dmso.A.OmM,76.3460550422152,Green,NA,41.2919601951574,NA
dmso.A.OmM,76.7142149131779,Green,NA,41.4817302003706,NA
dmso.A.OmM,76.8489785621556,Green,37.1498554338903,NA,NA
dmso.A.OmM,76.9247412249632,Green,NA,39.7512370424271,NA
dmso.A.OmM,77.1326299948762,Green,NA,NA,42.2284343215624
dmso.A.OmM,77.1391909344746,Green,NA,41.2910909845797,NA
dmso.A.OmM,77.1567321390773,Green,36.5317978913299,NA,NA
dmso.A.OmM,77.1567582679019,Green,NA,39.5429377911068,NA
dmso.A.OmM,77.1795095058508,Green,NA,NA,39.5730788549194
dmso.A.OmM,77.1929834700122,Green,37.5820608797443,NA,NA
dmso.A.OmM,77.4383931972333,Green,NA,38.6192027097903,NA
dmso.A.OmM,77.4857196384179,Green,38.0352984171358,NA,NA
dmso.A.OmM,77.5465775291989,Green,NA,40.6744633607222,NA
dmso.A.OmM,77.5483355213257,Green,NA,NA,41.9647821021385
dmso.A.OmM,77.8067370055046,Green,38.4056533490153,NA,NA
dmso.A.OmM,78.2205943390458,Green,NA,NA,41.2006105723983
dmso.A.OmM,78.3171322614648,Green,NA,38.8868368238062,NA
dmso.A.OmM,78.4437108791331,Green,NA,NA,39.8360642874179
dmso.A.OmM,78.6299933286315,Green,NA,37.4759777763007,NA
