Sample_Name,Depth,DO,Temperature,pH,Secchi.Depth
CBE18MAY05,0,NA,NA,NA,NA
CBE18MAY05,0.5,NA,NA,NA,NA
CBE18MAY05,1,NA,NA,NA,NA
CBE18MAY05,1.5,NA,NA,NA,NA
CBE18MAY05,2,NA,NA,NA,NA
CBE18MAY05,2.5,NA,NA,NA,NA
CBH18MAY05,0,NA,NA,NA,NA
CBH18MAY05,0.5,NA,NA,NA,NA
CBH18MAY05,1,NA,NA,NA,NA
CBH18MAY05,1.5,NA,NA,NA,NA
CBH18MAY05,2,NA,NA,NA,NA
CBH18MAY05,2.5,NA,NA,NA,NA
CBE01JUN05,0,7.4,22.5,NA,NA
CBE01JUN05,0.5,5.65,17.5,NA,NA
CBE01JUN05,1,6.49,14.3,NA,NA
CBE01JUN05,1.5,3.55,11,NA,NA
CBE01JUN05,2,0.6,8.9,NA,NA
CBE01JUN05,2.5,NA,NA,NA,NA
CBH01JUN05,0,7.4,22.5,NA,NA
CBH01JUN05,0.5,5.65,17.5,NA,NA
CBH01JUN05,1,6.49,14.3,NA,NA
CBH01JUN05,1.5,3.55,11,NA,NA
CBH01JUN05,2,0.6,8.9,NA,NA
CBH01JUN05,2.5,NA,NA,NA,NA
CBE08JUN05,0,6.9,21.9,NA,NA
CBE08JUN05,0.5,6.2,21.2,NA,NA
CBE08JUN05,1,5.4,17.6,NA,NA
CBE08JUN05,1.5,3.3,13.5,NA,NA
CBE08JUN05,2,0.8,10.3,NA,NA
CBE08JUN05,2.5,NA,NA,NA,NA
CBH08JUN05,0,6.9,21.9,NA,NA
CBH08JUN05,0.5,6.2,21.2,NA,NA
CBH08JUN05,1,5.4,17.6,NA,NA
CBH08JUN05,1.5,3.3,13.5,NA,NA
CBH08JUN05,2,0.8,10.3,NA,NA
CBH08JUN05,2.5,NA,NA,NA,NA
CBE15JUN05,0,5.4,20.7,NA,NA
CBE15JUN05,0.5,5.4,20.7,NA,NA
CBE15JUN05,1,2.9,15,NA,NA
CBE15JUN05,1.5,0.4,10.6,NA,NA
CBE15JUN05,2,0.3,9.8,NA,NA
CBE15JUN05,2.5,NA,NA,NA,NA
CBH15JUN05,0,5.4,20.7,NA,NA
CBH15JUN05,0.5,5.4,20.7,NA,NA
CBH15JUN05,1,2.9,15,NA,NA
CBH15JUN05,1.5,0.4,10.6,NA,NA
CBH15JUN05,2,0.3,9.8,NA,NA
CBH15JUN05,2.5,NA,NA,NA,NA
CBE22JUN05,0,8.2,24.6,NA,NA
CBE22JUN05,0.5,7.9,23.5,NA,NA
CBE22JUN05,1,8.1,23,NA,NA
CBE22JUN05,1.5,8,19.8,NA,NA
CBE22JUN05,2,2.6,16.1,NA,NA
CBE22JUN05,2.5,NA,NA,NA,NA
CBH22JUN05,0,8.2,24.6,NA,NA
CBH22JUN05,0.5,7.9,23.5,NA,NA
CBH22JUN05,1,8.1,23,NA,NA
CBH22JUN05,1.5,8,19.8,NA,NA
CBH22JUN05,2,2.6,16.1,NA,NA
CBH22JUN05,2.5,NA,NA,NA,NA
CBE29JUN05,0,6.6,25.1,NA,NA
CBE29JUN05,0.5,6.6,24.9,NA,NA
CBE29JUN05,1,6.1,24.4,NA,NA
CBE29JUN05,1.5,4.6,22.4,NA,NA
CBE29JUN05,2,0.8,19.5,NA,NA
CBE29JUN05,2.5,NA,NA,NA,NA
CBH29JUN05,0,6.6,25.1,NA,NA
CBH29JUN05,0.5,6.6,24.9,NA,NA
CBH29JUN05,1,6.1,24.4,NA,NA
CBH29JUN05,1.5,4.6,22.4,NA,NA
CBH29JUN05,2,0.8,19.5,NA,NA
CBH29JUN05,2.5,NA,NA,NA,NA
CBE06JUL05,0,6.4,22.7,NA,NA
CBE06JUL05,0.5,7.3,22.1,NA,NA
CBE06JUL05,1,6.3,21.6,NA,NA
CBE06JUL05,1.5,6.4,21.4,NA,NA
CBE06JUL05,2,0.8,18.7,NA,NA
CBE06JUL05,2.5,NA,NA,NA,NA
CBH06JUL05,0,6.4,22.7,NA,NA
CBH06JUL05,0.5,7.3,22.1,NA,NA
CBH06JUL05,1,6.3,21.6,NA,NA
CBH06JUL05,1.5,6.4,21.4,NA,NA
CBH06JUL05,2,0.8,18.7,NA,NA
CBH06JUL05,2.5,NA,NA,NA,NA
CBE13JUL05,0,NA,NA,NA,NA
CBE13JUL05,0.5,NA,NA,NA,NA
CBE13JUL05,1,NA,NA,NA,NA
CBE13JUL05,1.5,NA,NA,NA,NA
CBE13JUL05,2,NA,NA,NA,NA
CBE13JUL05,2.5,NA,NA,NA,NA
CBH13JUL05,0,NA,NA,NA,NA
CBH13JUL05,0.5,NA,NA,NA,NA
CBH13JUL05,1,NA,NA,NA,NA
CBH13JUL05,1.5,NA,NA,NA,NA
CBH13JUL05,2,NA,NA,NA,NA
CBH13JUL05,2.5,NA,NA,NA,NA
CBE20JUL05,0,NA,NA,NA,NA
CBE20JUL05,0.5,NA,NA,NA,NA
CBE20JUL05,1,NA,NA,NA,NA
CBE20JUL05,1.5,NA,NA,NA,NA
CBE20JUL05,2,NA,NA,NA,NA
CBE20JUL05,2.5,NA,NA,NA,NA
CBH20JUL05,0,NA,NA,NA,NA
CBH20JUL05,0.5,NA,NA,NA,NA
CBH20JUL05,1,NA,NA,NA,NA
CBH20JUL05,1.5,NA,NA,NA,NA
CBH20JUL05,2,NA,NA,NA,NA
CBH20JUL05,2.5,NA,NA,NA,NA
CBE27JUL05,0,7.3,24.7,NA,NA
CBE27JUL05,0.5,7.3,24.2,NA,NA
CBE27JUL05,1,8,22.6,NA,NA
CBE27JUL05,1.5,6.3,22.1,NA,NA
CBE27JUL05,2,3.1,21.4,NA,NA
CBE27JUL05,2.5,NA,NA,NA,NA
CBH27JUL05,0,7.3,24.7,NA,NA
CBH27JUL05,0.5,7.3,24.2,NA,NA
CBH27JUL05,1,8,22.6,NA,NA
CBH27JUL05,1.5,6.3,22.1,NA,NA
CBH27JUL05,2,3.1,21.4,NA,NA
CBH27JUL05,2.5,NA,NA,NA,NA
CBE03AUG05,0,7.8,27.7,NA,NA
CBE03AUG05,0.5,7.9,27,NA,NA
CBE03AUG05,1,7,25.1,NA,NA
CBE03AUG05,1.5,6.1,22.9,NA,NA
CBE03AUG05,2,0.7,20.4,NA,NA
CBE03AUG05,2.5,NA,NA,NA,NA
CBH03AUG05,0,7.8,27.7,NA,NA
CBH03AUG05,0.5,7.9,27,NA,NA
CBH03AUG05,1,7,25.1,NA,NA
CBH03AUG05,1.5,6.1,22.9,NA,NA
CBH03AUG05,2,0.7,20.4,NA,NA
CBH03AUG05,2.5,NA,NA,NA,NA
CBE11AUG05,0,7.5,23.6,NA,NA
CBE11AUG05,0.5,7.5,23.7,NA,NA
