Film,Chapter,Character,Dwarf,Elf,Hobbit,Man,Orc,Wizard
The Fellowship Of The Ring,01: Prologue,Bilbo,NA,NA,4,NA,NA,NA
The Fellowship Of The Ring,01: Prologue,Elrond,NA,5,NA,NA,NA,NA
The Fellowship Of The Ring,01: Prologue,Galadriel,NA,460,NA,NA,NA,NA
The Fellowship Of The Ring,02: Concerning Hobbits,Bilbo,NA,NA,214,NA,NA,NA
The Fellowship Of The Ring,03: The Shire,Bilbo,NA,NA,70,NA,NA,NA
The Fellowship Of The Ring,03: The Shire,Frodo,NA,NA,128,NA,NA,NA
The Fellowship Of The Ring,03: The Shire,Gandalf,NA,NA,NA,NA,NA,197
The Fellowship Of The Ring,03: The Shire,Hobbit Kids,NA,NA,10,NA,NA,NA
The Fellowship Of The Ring,03: The Shire,Hobbits,NA,NA,12,NA,NA,NA
The Fellowship Of The Ring,04: Very Old Friends,Bilbo,NA,NA,339,NA,NA,NA
The Fellowship Of The Ring,04: Very Old Friends,Gandalf,NA,NA,NA,NA,NA,64
The Fellowship Of The Ring,04: Very Old Friends,Lobelia Sackville-Baggins,NA,NA,8,NA,NA,NA
The Fellowship Of The Ring,05: A Long Expected Party,Bilbo,NA,NA,326,NA,NA,NA
The Fellowship Of The Ring,05: A Long Expected Party,Frodo,NA,NA,32,NA,NA,NA
The Fellowship Of The Ring,05: A Long Expected Party,Gandalf,NA,NA,NA,NA,NA,12
The Fellowship Of The Ring,05: A Long Expected Party,Hobbits,NA,NA,8,NA,NA,NA
The Fellowship Of The Ring,05: A Long Expected Party,Lobelia Sackville-Baggins,NA,NA,1,NA,NA,NA
The Fellowship Of The Ring,05: A Long Expected Party,Merry,NA,NA,19,NA,NA,NA
The Fellowship Of The Ring,05: A Long Expected Party,Mrs. Bracegirdle,NA,NA,2,NA,NA,NA
The Fellowship Of The Ring,05: A Long Expected Party,Pippin,NA,NA,15,NA,NA,NA
The Fellowship Of The Ring,05: A Long Expected Party,Proudfoot,NA,NA,1,NA,NA,NA
The Fellowship Of The Ring,05: A Long Expected Party,Sam,NA,NA,7,NA,NA,NA
The Fellowship Of The Ring,06: Farewell Dear Bilbo,Bilbo,NA,NA,182,NA,NA,NA
The Fellowship Of The Ring,06: Farewell Dear Bilbo,Gandalf,NA,NA,NA,NA,NA,148
The Fellowship Of The Ring,"07: Keep It Secret, Keep It Safe",Bilbo,NA,NA,6,NA,NA,NA
The Fellowship Of The Ring,"07: Keep It Secret, Keep It Safe",Frodo,NA,NA,33,NA,NA,NA
The Fellowship Of The Ring,"07: Keep It Secret, Keep It Safe",Gandalf,NA,NA,NA,NA,NA,60
The Fellowship Of The Ring,08: The Account of Isildur,Gandalf,NA,NA,NA,NA,NA,107
The Fellowship Of The Ring,08: The Account of Isildur,Hobbits,NA,NA,12,NA,NA,NA
The Fellowship Of The Ring,09: At The Green Dragon,Frodo,NA,NA,17,NA,NA,NA
The Fellowship Of The Ring,09: At The Green Dragon,Gaffer,NA,NA,21,NA,NA,NA
The Fellowship Of The Ring,09: At The Green Dragon,Hobbits,NA,NA,53,NA,NA,NA
The Fellowship Of The Ring,09: At The Green Dragon,Merry,NA,NA,53,NA,NA,NA
The Fellowship Of The Ring,09: At The Green Dragon,Pippin,NA,NA,61,NA,NA,NA
