Film,Chapter,Character,Dwarf,Elf,Hobbit,Man,Orc,Wizard
The Two Towers,01: The Foundations Of Stone,Boromir,NA,NA,NA,2,NA,NA
The Two Towers,01: The Foundations Of Stone,Frodo,NA,NA,9,NA,NA,NA
The Two Towers,01: The Foundations Of Stone,Gandalf,NA,NA,NA,NA,NA,39
The Two Towers,01: The Foundations Of Stone,Sam,NA,NA,5,NA,NA,NA
The Two Towers,02: Elven Rope,Frodo,NA,NA,46,NA,NA,NA
The Two Towers,02: Elven Rope,Sam,NA,NA,97,NA,NA,NA
The Two Towers,03: The Taming of Sméagol,Frodo,NA,NA,123,NA,NA,NA
The Two Towers,03: The Taming of Sméagol,Sam,NA,NA,181,NA,NA,NA
The Two Towers,04: The Uruk-Hai,Grishnakh,NA,NA,NA,NA,10,NA
The Two Towers,04: The Uruk-Hai,Mauhur,NA,NA,NA,NA,2,NA
The Two Towers,04: The Uruk-Hai,Merry,NA,NA,19,NA,NA,NA
The Two Towers,04: The Uruk-Hai,Pippin,NA,NA,26,NA,NA,NA
The Two Towers,04: The Uruk-Hai,Ugluk,NA,NA,NA,NA,51,NA
The Two Towers,05: The Three Hunters,Aragorn,NA,NA,NA,59,NA,NA
The Two Towers,05: The Three Hunters,Gimli,35,NA,NA,NA,NA,NA
The Two Towers,05: The Three Hunters,Legolas,NA,25,NA,NA,NA,NA
The Two Towers,06: The Burning of the Westfold,Eothain,NA,NA,NA,2,NA,NA
The Two Towers,06: The Burning of the Westfold,Freda,NA,NA,NA,24,NA,NA
The Two Towers,06: The Burning of the Westfold,Morwen,NA,NA,NA,37,NA,NA
The Two Towers,06: The Burning of the Westfold,Orc,NA,NA,NA,NA,29,NA
The Two Towers,06: The Burning of the Westfold,Saruman,NA,NA,NA,NA,NA,187
The Two Towers,06: The Burning of the Westfold,Wild Man,NA,NA,NA,11,NA,NA
The Two Towers,07: Massacre at the Fords of Isen,Eomer,NA,NA,NA,13,NA,NA
The Two Towers,07: Massacre at the Fords of Isen,Rohan Warrior,NA,NA,NA,10,NA,NA
