"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"1"	"Reminder: @BandFlaw lays it all on the Line tomorrow @Spicolis Waterloo, Iowa  (hope they play Payback)  !!!!!!!Flaw!!!!!!!
#DeathGrind"	FALSE	928	NA	2018-04-03 02:22:08	FALSE	NA	"980993824116887558"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"StephenAtHome"	128	FALSE	FALSE	NA	NA
"2"	"Jinx! You owe me a Coke. https://t.co/bNitNTFAkt via @youtube"	FALSE	2390	NA	2018-04-01 03:49:20	FALSE	NA	"980290992262799360"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"StephenAtHome"	660	FALSE	FALSE	NA	NA
"3"	"Burn one with Kacey Musgraves! Kacey Musgraves Performs 'Slow Burn' https://t.co/Ei9Xmv6xDH via @YouTube"	FALSE	603	NA	2018-03-30 19:25:38	FALSE	NA	"979801843625799680"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"StephenAtHome"	56	FALSE	FALSE	NA	NA
"4"	"\"Jefferson Beauregard Sessions III.\" Just going to leave this here for anyone who needs to guess his name or he get… https://t.co/OE7JILfvzW"	FALSE	11514	NA	2018-03-30 16:35:57	TRUE	NA	"979759144407388160"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"StephenAtHome"	1769	FALSE	FALSE	NA	NA
"5"	"I feel better already! Thanks @mbsings 
John Bolton's Terrifying Ideas Sung By Michael Bolton https://t.co/qJhSsfBIAS via @YouTube"	FALSE	1705	NA	2018-03-30 13:44:59	FALSE	NA	"979716120147046400"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"StephenAtHome"	337	FALSE	FALSE	NA	NA
"6"	"The whole damn thing! https://t.co/mSF2N0w8Rb"	FALSE	962	NA	2018-03-30 02:43:57	FALSE	NA	"979549761727549440"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"StephenAtHome"	144	FALSE	FALSE	NA	NA
"7"	"The busiest person at the White House is whoever has to update the office contact list."	FALSE	77769	NA	2018-03-30 01:45:22	FALSE	NA	"979535019298508800"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"StephenAtHome"	11526	FALSE	FALSE	NA	NA
"8"	"Dana was very nice to credit me last night, but the Brokaw/Ford Obituary sketch was written by Robert Smigel, Louis… https://t.co/WLoTe7mILM"	FALSE	1799	NA	2018-03-29 14:07:07	TRUE	NA	"979359300446572544"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"StephenAtHome"	145	FALSE	FALSE	NA	NA
"9"	"I am not making this up... https://t.co/b1iOXbaygp"	FALSE	991	NA	2018-03-29 11:52:41	FALSE	NA	"979325468158713857"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"StephenAtHome"	153	FALSE	FALSE	NA	NA
"10"	"He escaped arrest but still got sent to his room with no screen time.
https://t.co/EKXYJhG0GT"	FALSE	5076	NA	2018-03-29 02:33:56	FALSE	NA	"979184855526313984"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"StephenAtHome"	635	FALSE	FALSE	NA	NA
