"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"1"	"This is it. The final matchup in the Bracket of Bullshit! Which bullshit is better?

Vote now:… https://t.co/nBXrIvmnp3"	FALSE	234	NA	2018-04-04 19:00:02	TRUE	NA	"981607343581552642"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	43	FALSE	FALSE	NA	NA
"2"	"Sean Penn discusses his time spent in Haiti after the devastating 2010 earthquake and his controversial friendship… https://t.co/DOYeXAJQGB"	FALSE	405	NA	2018-04-04 17:00:03	TRUE	NA	"981577148346617857"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	133	FALSE	FALSE	NA	NA
"3"	"We're down to the final matchup in the Bracket of Bullshit! Who will win: \"Very Fine People on Both Sides\" or the \"… https://t.co/XCVTESBUzw"	FALSE	362	NA	2018-04-04 15:15:20	TRUE	NA	"981550794339217414"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	77	FALSE	FALSE	NA	NA
"4"	"Trevor explains why a South African woman got locked up for being racist. #BetweenTheScenes https://t.co/NXBg1KOs9X"	FALSE	2822	NA	2018-04-04 14:00:05	FALSE	NA	"981531856918208512"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	1545	FALSE	FALSE	NA	NA
"5"	"From the archives: Hillary Clinton talks about the FBI investigation into President Trump's campaign ties to Russia… https://t.co/zGvyhiP8Ub"	FALSE	441	NA	2018-04-04 13:05:39	TRUE	NA	"981518157541232640"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	119	FALSE	FALSE	NA	NA
"6"	".@chloexhalle perform \"The Kids Are Alright\" and \"Warrior\" from their debut album. https://t.co/rGbrr1yGpi"	FALSE	595	NA	2018-04-03 20:00:02	FALSE	NA	"981260053230563337"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	196	FALSE	FALSE	NA	NA
"7"	"Trevor and @rupaul talk @RuPaulsDragRace: https://t.co/nzb3oCxMfv https://t.co/N6L3W7VkFK"	FALSE	535	NA	2018-04-03 17:00:02	FALSE	NA	"981214754864758784"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	87	FALSE	FALSE	NA	NA
"8"	"From the archives: Tomi Lahren discusses why she supports Donald Trump, weighs in on Black Lives Matter and clarifi… https://t.co/AT8BSEi7XW"	FALSE	687	NA	2018-04-03 14:42:00	TRUE	NA	"981180016489877504"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	185	FALSE	FALSE	NA	NA
"9"	"\"Nelson Mandela was an icon, but the police in the country were afraid of Winnie Mandela.\" #BetweenTheScenes https://t.co/cV5Kv6rC4F"	FALSE	13846	NA	2018-04-03 12:37:22	FALSE	NA	"981148652692484097"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	6662	FALSE	FALSE	NA	NA
"10"	"Trevor and @RuPaul talk @RuPaulsDragRace: https://t.co/nzb3oCxMfv https://t.co/OHA9pN4ID3"	FALSE	823	NA	2018-04-02 20:45:41	FALSE	NA	"980909155383902208"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	96	FALSE	FALSE	NA	NA
"11"	"We’re down to the Phony Four! What’s the best bullshit from the last year? You decide: https://t.co/kcPi2Zlf8C https://t.co/7lL8iXSLGe"	FALSE	321	NA	2018-04-02 17:00:00	FALSE	NA	"980852360531542016"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	67	FALSE	FALSE	NA	NA
"12"	"Trevor came up with an innovative technique to avoid changing his little brother's diaper. #BetweenTheScenes https://t.co/Y5sI8EZpf2"	FALSE	1555	NA	2018-04-02 14:00:01	FALSE	NA	"980807065890209792"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	419	FALSE	FALSE	NA	NA
"13"	"From the Archives: Barack Obama discusses Russia's impact on the 2016 election, the Trump administration, Obamacare… https://t.co/Q9d9KQVPrJ"	FALSE	693	NA	2018-04-02 13:04:03	TRUE	NA	"980792980666757120"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	221	FALSE	FALSE	NA	NA
"14"	"An Alabama sheriff uses funds meant to feed inmates to buy himself a beach house: https://t.co/JQLUuFTQC6 https://t.co/3RNCQWgcD3"	FALSE	1540	NA	2018-04-01 20:00:02	FALSE	NA	"980535278686191616"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	631	FALSE	FALSE	NA	NA
"15"	".@hasanminhaj will not stand for these shitty \"Punish a Muslim Day\" fliers. https://t.co/FqogIFRGgj https://t.co/YdbTRCUHWh"	FALSE	939	NA	2018-04-01 17:00:02	FALSE	NA	"980489977988571137"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	220	FALSE	FALSE	NA	NA
"16"	".@DesiLydic and @dulcesloan honor Sarah Howe, the actual inventor of the Ponzi Scheme. https://t.co/yGqi902lC6"	FALSE	551	NA	2018-04-01 14:00:03	FALSE	NA	"980444684781731840"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	162	FALSE	FALSE	NA	NA
"17"	"Trump appointed Ronny Jackson as Secretary of Veterans Affairs for the trumpiest reason ever:… https://t.co/q1Do17RBWN"	FALSE	792	NA	2018-03-31 20:00:01	TRUE	NA	"980172884864770048"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	194	FALSE	FALSE	NA	NA
"18"	"We’re down to the Phony Four in the Bracket of Bullshit! Vote now: https://t.co/kcPi2Zlf8C https://t.co/STkaCdJz5W"	FALSE	376	NA	2018-03-31 18:11:34	FALSE	NA	"980145592604282880"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"TheDailyShow"	80	FALSE	FALSE	NA	NA
"19"	"You can't just have any old dream when you're part of the King family: https://t.co/Au3LNqZSUX https://t.co/TRzZ3fUuI3"	FALSE	1272	NA	2018-03-31 17:00:01	FALSE	NA	"980127587950317569"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	309	FALSE	FALSE	NA	NA
"20"	".@DesiLydic discovers that life is a lot easier if you apply the tactics of Trump's combative, truth-challenged pre… https://t.co/117ZZNVZZ0"	FALSE	1167	NA	2018-03-31 14:00:03	TRUE	NA	"980082298539343872"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	371	FALSE	FALSE	NA	NA
"21"	"ICYMI: @roywoodjr aka Leo Deblin is here to solve your company's racist marketing issues. https://t.co/9cAZHHZUq1"	FALSE	766	NA	2018-03-31 13:47:37	FALSE	NA	"980079168363941888"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"TheDailyShow"	151	FALSE	FALSE	NA	NA
"22"	"What a week! Catch up on the latest episodes at https://t.co/7I2dxle5XM. #TDSBackstage
������: @ruminasean https://t.co/4B5XqP1YRN"	FALSE	390	NA	2018-03-30 20:28:07	FALSE	NA	"979817568331550721"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	32	FALSE	FALSE	NA	NA
"23"	"\"Punish a Muslim Day\" fliers rattle the U.K.

@hasanminhaj reports: https://t.co/FqogIFRGgj https://t.co/dxwGlgohar"	FALSE	2496	NA	2018-03-30 16:03:55	FALSE	NA	"979751081277353984"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"TheDailyShow"	605	FALSE	FALSE	NA	NA
"24"	"Critics argue that Ronny Jackson is deeply unqualified for his new position as the Secretary of Veterans Affairs:… https://t.co/0hPUIeA52o"	FALSE	1244	NA	2018-03-30 14:39:40	TRUE	NA	"979729881637498881"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"TheDailyShow"	287	FALSE	FALSE	NA	NA
"25"	"Trump's new VA Secretary is deemed \"unprepared,\" @hasanminhaj explains why \"Punish a Muslim Day\" is a moot point, a… https://t.co/1ijN5nOh9c"	FALSE	282	NA	2018-03-30 05:07:53	TRUE	NA	"979585987838922752"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	57	FALSE	FALSE	NA	NA
"26"	"\"It's one day. That's 364 days less than normal. I take that as a 'W.'\" 
-@hasanminhaj reacts to the \"Punish a Musl… https://t.co/hnWytZKDRk"	FALSE	2851	NA	2018-03-30 03:30:00	TRUE	NA	"979561353915461635"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	1309	FALSE	FALSE	NA	NA
"27"	"TONIGHT: @hasanminhaj explains why \"Punish a Muslim Day\" is a moot point. https://t.co/bB5m02vOKh"	FALSE	444	NA	2018-03-30 02:30:07	FALSE	NA	"979546282531287040"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	57	FALSE	FALSE	NA	NA
"28"	"TONIGHT: @rosieperezbklyn talks NBC's \"Rise!\" https://t.co/TL8ucCXdxr"	FALSE	183	NA	2018-03-30 02:00:03	FALSE	NA	"979538715012927488"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	18	FALSE	FALSE	NA	NA
"29"	"TONIGHT: Running the VA is no easy task, but then again, neither is handling Trump's prostate. https://t.co/byjNhLsI9K"	FALSE	1807	NA	2018-03-30 01:00:01	FALSE	NA	"979523606601486336"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	424	FALSE	FALSE	NA	NA
"30"	"Sheriff Todd Entrekin bought a beach house with money that was supposed to feed inmates... and it's 100% legal:… https://t.co/UPTWVv5uws"	FALSE	456	NA	2018-03-29 21:29:58	TRUE	NA	"979470749336526848"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	145	FALSE	FALSE	NA	NA
"31"	"An Alabama Sheriff used money meant to feed inmates to buy himself a beach house... and we have a feeling Domino's… https://t.co/HK2gMtoM3c"	FALSE	1052	NA	2018-03-29 18:38:31	TRUE	NA	"979427600174108672"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	403	FALSE	FALSE	NA	NA
"32"	"#WhoBitBeyonce? https://t.co/NjgOoXXQPa"	FALSE	345	NA	2018-03-29 17:38:12	FALSE	NA	"979412421088628736"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"TheDailyShow"	75	FALSE	FALSE	NA	NA
"33"	"What is butt chugging? @ronnychieng investigates the latest drinking craze with the help of the star of… https://t.co/5UUwLUV3bI"	FALSE	2013	NA	2018-03-29 16:00:01	TRUE	NA	"979387711705567233"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	414	FALSE	FALSE	NA	NA
"34"	".@DesiLydic owns the world the way Sarah Huckabee Sanders owns a press briefing: https://t.co/gfBsqqBzAZ https://t.co/sC5aPaITlU"	FALSE	201	NA	2018-03-29 15:20:45	FALSE	NA	"979377832366395392"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"TheDailyShow"	28	FALSE	FALSE	NA	NA
"35"	"An Alabama sheriff bought a beach house with money meant to feed inmates.

Trevor and @michaelkosta discuss the dif… https://t.co/8y1z2UGGU6"	FALSE	1621	NA	2018-03-29 13:54:59	TRUE	NA	"979356247303622656"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	703	FALSE	FALSE	NA	NA
"36"	"Trump fires VA Secretary David Shulkin, @michaelkosta gives props to a self-enriching sheriff in Alabama, and… https://t.co/0UvL8vsb2v"	FALSE	261	NA	2018-03-29 05:57:12	TRUE	NA	"979236009945829376"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	65	FALSE	FALSE	NA	NA
"37"	"Trump appoints the White House doctor to VA Secretary, because anyone who's seen him naked deserves a reward. https://t.co/lQDlmtKii6"	FALSE	1439	NA	2018-03-29 03:30:00	FALSE	NA	"979198964477169664"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	220	FALSE	FALSE	NA	NA
"38"	"Someone bit Beyonce in the face. Trevor runs down the list of suspects. #BetweenTheScenes https://t.co/uJ75dDcveI"	FALSE	3945	NA	2018-03-29 02:46:21	FALSE	NA	"979187980219895810"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	1113	FALSE	FALSE	NA	NA
"39"	"TONIGHT: @chloexhalle chat about their debut album and perform \"The Kids Are Alright\" and \"Warrior!\" https://t.co/74HrCTudMh"	FALSE	468	NA	2018-03-29 02:00:05	FALSE	NA	"979176335242420231"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	72	FALSE	FALSE	NA	NA
"40"	"Breaking news from the Trump White House: someone got fired. https://t.co/Uvmk4BoxiZ"	FALSE	1015	NA	2018-03-29 01:30:07	FALSE	NA	"979168796840726528"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	234	FALSE	FALSE	NA	NA
"41"	"TONIGHT: VA Secretary David Shulkin: OUT
Doctor who’s seen Trump naked: IN https://t.co/PgdkOTYe1I"	FALSE	1288	NA	2018-03-29 00:06:09	FALSE	NA	"979147664158728193"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	300	FALSE	FALSE	NA	NA
"42"	"VA Secretary David Shulkin is now a veteran of the Trump administration! Who will be the next to go?!… https://t.co/auRq2OrXTv"	FALSE	1725	NA	2018-03-28 21:44:37	TRUE	NA	"979112046250938368"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"TheDailyShow"	592	FALSE	FALSE	NA	NA
"43"	"\"Before I thought anybody might get angry about what he’d said, I knew they’d be heartbroken.” -Sean Penn on Haiti’… https://t.co/2NzWy462So"	FALSE	977	NA	2018-03-28 20:07:21	TRUE	NA	"979087566598123520"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	296	FALSE	FALSE	NA	NA
"44"	"Big thanks to @LateNightDonald for visiting the show last night! https://t.co/MXYiQc4MJs https://t.co/wHUf8eRWCX"	FALSE	321	NA	2018-03-28 17:48:13	FALSE	NA	"979052554880393216"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	43	FALSE	FALSE	NA	NA
"45"	"\"What is this, racist curling?\" https://t.co/8khR4vbEAJ https://t.co/GIxOXnP2Tf"	FALSE	2040	NA	2018-03-28 15:56:14	FALSE	NA	"979024371175092224"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	759	FALSE	FALSE	NA	NA
"46"	"Don't pull a Heineken. Use Leo Deblin's “Ask-A-Black” service before your company makes a racist mistake!… https://t.co/gubTxTkpsq"	FALSE	2260	NA	2018-03-28 14:46:48	TRUE	NA	"979006899201851394"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	626	FALSE	FALSE	NA	NA
"47"	"President Trump joins @michaelkosta and @roywoodjr to break down the last four matchups in the Bracket of Bullshit.… https://t.co/pccBYlqjsE"	FALSE	754	NA	2018-03-28 13:09:23	TRUE	NA	"978982383666937857"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	239	FALSE	FALSE	NA	NA
"48"	"A Pennsylvania school district arms kids with rocks, Trump picks Geppetto cosplayer John Bolton as his third nation… https://t.co/Q3RmtfZFgh"	FALSE	446	NA	2018-03-28 06:09:18	TRUE	NA	"978876665752444929"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	101	FALSE	FALSE	NA	NA
"49"	"Meet John Bolton, Trump's third national security adviser. Good news: after the fourth national security adviser, t… https://t.co/YqncnH4sDj"	FALSE	1702	NA	2018-03-28 03:30:00	TRUE	NA	"978836577509142528"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	392	FALSE	FALSE	NA	NA
"50"	"Oh baby the president himself stopped by to break down his own bullshit! 

What’s the best bullshit? VOTE:… https://t.co/vBV9iU659y"	FALSE	397	NA	2018-03-28 03:19:42	TRUE	NA	"978833983252385792"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"TheDailyShow"	58	FALSE	FALSE	NA	NA
"51"	"The President of the United States is in the house tonight! https://t.co/Ms4A9mh1Vh"	FALSE	1193	NA	2018-03-28 01:59:29	FALSE	NA	"978813796646031365"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"TheDailyShow"	141	FALSE	FALSE	NA	NA
"52"	"TONIGHT: Trump’s new national security advisor John Bolton may look like a harmless model-train enthusiast, but he’… https://t.co/dT3HWP7Q7x"	FALSE	998	NA	2018-03-28 01:00:02	TRUE	NA	"978798838235521024"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	271	FALSE	FALSE	NA	NA
"53"	"TONIGHT: Sean Penn is here! https://t.co/VXgfAAX2Xw"	FALSE	361	NA	2018-03-27 23:59:58	FALSE	NA	"978783718226702336"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	36	FALSE	FALSE	NA	NA
"54"	"Stormy Daniels says Trump's behavior improved after she spanked him with a magazine. Should foreign leaders follow… https://t.co/QrPRFtDEse"	FALSE	3305	NA	2018-03-27 22:51:43	TRUE	NA	"978766545064050688"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	826	FALSE	FALSE	NA	NA
"55"	"Montana gun owners rally against the #MarchForOurLives. @roywoodjr reports: https://t.co/GLOngs4t6i https://t.co/Dy87VvQre2"	FALSE	1713	NA	2018-03-27 19:45:16	FALSE	NA	"978719623607537664"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	513	FALSE	FALSE	NA	NA
"56"	"Fingers crossed that Bob Mueller was taking notes during that Stormy Daniels interview. https://t.co/2P0GSDVy9O https://t.co/Dy6xTfJ14i"	FALSE	1206	NA	2018-03-27 18:16:57	FALSE	NA	"978697397353287680"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	286	FALSE	FALSE	NA	NA
"57"	"\"I should have a tank because I should be equally armed with whatever the government has.\" 

@RoyWoodJr interviews… https://t.co/gB8ceplZjJ"	FALSE	4220	NA	2018-03-27 15:43:48	TRUE	NA	"978658856157921285"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	1851	FALSE	FALSE	NA	NA
"58"	".@roywoodjr reports from a pro-gun rally in Montana: https://t.co/GLOngsm4uS https://t.co/oyxS6DDBmK"	FALSE	6527	NA	2018-03-27 14:12:30	FALSE	NA	"978635880356335618"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"TheDailyShow"	2058	FALSE	FALSE	NA	NA
"59"	"Weeks of news in just a few days! https://t.co/RMNZlxVu11"	FALSE	520	NA	2018-03-27 12:40:22	FALSE	NA	"978612694965157888"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"TheDailyShow"	90	FALSE	FALSE	NA	NA
"60"	"Trevor recaps Saturday's #MarchForOurLives including stunning advice from Rick Santorum, and @tylerperry chats abou… https://t.co/7LnDTZyQHh"	FALSE	359	NA	2018-03-27 06:17:55	TRUE	NA	"978516446199341056"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	89	FALSE	FALSE	NA	NA
"61"	"Trump expels 60 Russian diplomats, fires H.R. McMaster, hires John Bolton, issues a transgender military ban, and g… https://t.co/UUAA4EFr39"	FALSE	2147	NA	2018-03-27 03:30:00	TRUE	NA	"978474188796133376"	NA	"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Media Studio</a>"	"TheDailyShow"	567	FALSE	FALSE	NA	NA
"62"	"You teens have proven you can get shit done with guns. Care to take on these other issues? Thanks! https://t.co/Jbs7SANrlw"	FALSE	1725	NA	2018-03-27 03:10:11	FALSE	NA	"978469201584287744"	NA	"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>"	"TheDailyShow"	249	FALSE	FALSE	NA	NA
