Samples,pH,Temp,TS
T_2_1,7.82,25.1,14.53
T_2_10,9.08,24.2,37.76
T_2_12,8.84,25.1,71.11
T_2_3,6.46,27.9,29.45
T_2_6,7.69,28.7,65.52
T_2_9,7.6,25,46.87
T_3_3,7.68,28.9,14.65
T_3_5,7.69,28.7,14.87
T_4_4,7.84,26.3,28.85
T_4_5,7.95,27.9,46.85
T_4_6,7.58,30.1,38.38
T_4_7,7.68,28.3,26.54
T_5_2,7.58,29.5,12.48
T_5_3,7.53,27.5,12.55
T_5_4,7.4,29.4,15.1
T_6_2,7.77,27.9,46.87
T_6_7,8.09,31.7,68.33
T_6_8,8.26,29.7,64.9
T_9_1,7.85,29.3,9.12
T_9_2,7.86,28.5,13.56
T_9_3,8.35,29.5,12.67
T_9_4,8.43,29.5,58.76
T_9_5,7.9,29.3,56.12
V_1_2,6.67,29.2,43.3
V_10_1,9.12,18.6,46.3
V_11_1,9,18.5,63
V_11_2,9.64,18.3,56.7
V_11_3,8.45,18.2,55.2
V_12_1,9.16,19.6,56.6
V_12_2,9.54,18.3,49
V_13_1,8.58,19,26
V_13_2,7.98,18.6,46.8
V_14_1,7.21,20,37.8
V_14_2,7.74,18.5,51.7
V_14_3,8.5,19.1,55.8
V_15_1,7.44,18.9,25.4
V_15_2,8.36,17.9,32.8
V_15_3,8.15,18.8,31.8
V_16_1,7.83,17.7,25.1
V_16_2,6.26,16.3,24
V_17_1,7.39,15.7,25.3
V_17_2,8.14,15.4,25.6
V_18_1,7.09,22.5,35.1
V_18_2,8.54,24.9,34.9
V_18_3,8.37,21.4,35.5
V_18_4,8.25,19.4,29.9
V_19_1,7.19,17.6,24.8
V_19_2,7.68,17.4,31.8
V_19_3,7.38,16.6,37
V_2_1,9.42,21.3,63.4
V_2_2,9.4,20.7,51.6
V_2_3,9.15,20.8,44.2
V_20_1,9.04,17,9.6
V_21_1,10.09,17.7,65.3
V_21_4,9.58,17.1,40.1
V_22_1,7.14,16.8,58.1
V_22_3,6.67,17.1,84.4
V_22_4,6.79,15.9,80.6
V_3_1,8.9,22.4,56.2
V_3_2,8.08,20.7,52
V_4_1,9.49,22.6,36.1
V_4_2,7.81,20.9,47.2
V_5_1,7.35,24.3,49.7
V_5_3,9.47,20.7,63.6
V_6_1,8.99,22.9,56.6
V_6_2,8.46,24.2,58.9
V_6_3,8.08,22.8,55.2
V_7_1,7.85,25.8,60.6
V_7_2,8.11,25.8,73.9
V_7_3,7.41,23.7,59.4
V_8_2,9.3,19.5,36.8
V_9_1,7.3,18.8,31.3
V_9_2,4.04,20.5,32
V_9_3,4.36,19.9,92.6
V_9_4,4.3,19.8,36.5
V_2_10,6,5,5
