"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"1"	"@DesireeRD Joel has gone 100% plant for the next two months so the first plant dinner I made him was your chard and… https://t.co/HF7b6DqQKQ"	FALSE	1	"DesireeRD"	2018-04-04 19:27:15	TRUE	NA	"981614191483092992"	"20159322"	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"2"	"@jambina Awww, yay Max! PVR it for him. And play “spot the Guelph”!"	FALSE	1	"jambina"	2018-04-01 22:03:55	FALSE	"980565045103935488"	"980566453492400128"	"11383102"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"3"	"@Lidsville Crappy picture ;)"	FALSE	2	"Lidsville"	2018-04-01 19:05:33	FALSE	"980494898796183552"	"980521565681930240"	"17829133"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"4"	"@markowenmartin @baym They’re super!"	FALSE	0	"markowenmartin"	2018-04-01 14:18:37	FALSE	"980446876599136257"	"980449359618699264"	"303598509"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"5"	"@ItsFathiya @OntScienceCtr So awesome to meet you! Thanks for saying hi, and get in touch anytime around genomic ep… https://t.co/eHioR1fhYd"	FALSE	1	"ItsFathiya"	2018-04-01 13:48:51	TRUE	"980231426460155904"	"980441866494656513"	"2450648946"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"6"	"@hellohelensong @OntScienceCtr The magic of television!"	FALSE	0	"hellohelensong"	2018-04-01 13:47:59	FALSE	"980250037069295618"	"980441647132495872"	"797105580426964992"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"7"	"@baym Ever since I learned about the cloaca in 9th grade biology, I have enjoyed all things cloacal. We are samplin… https://t.co/9HPKA6UCe5"	FALSE	5	"baym"	2018-04-01 13:47:35	TRUE	"980433996445306880"	"980441547509395456"	"15639858"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"8"	"It’s hard to tell from this pic, but my colon is being shown on the @OntScienceCtr’s two-storey film screen! Life g… https://t.co/4ySNlw4qzj"	FALSE	76	NA	2018-03-31 20:22:41	TRUE	NA	"980178591743819776"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	7	FALSE	FALSE	NA	NA
"9"	".@AndreaMBain gets us going here at @OntScienceCtr!!! https://t.co/cmcohgxVok"	FALSE	5	NA	2018-03-31 20:12:11	FALSE	NA	"980175948472463360"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	1	FALSE	FALSE	NA	NA
"10"	"Kicking off our @cbcdocs premiere at @OntScienceCtr with a full-size model of our digestive tract! https://t.co/40b5EAPpr8"	FALSE	11	NA	2018-03-31 20:04:52	FALSE	NA	"980174107273846788"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	2	FALSE	FALSE	NA	NA
"11"	"Getting in the mood for our @cbcdocs premiere this afternoon. https://t.co/Hs1ZZhR2M4"	FALSE	11	NA	2018-03-31 16:04:45	FALSE	NA	"980113680913154048"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	3	FALSE	FALSE	NA	NA
"12"	"@jwoodgett There’s gold in them thar containers!"	FALSE	0	"jwoodgett"	2018-03-30 23:46:37	FALSE	"979822416602980352"	"979867525394481152"	"134941111"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"13"	"@tweetinthebox There was no wifi on the plane, doh. After instructing random middle seat guy in the best way to get… https://t.co/ClVgkSnWYz"	FALSE	0	"tweetinthebox"	2018-03-30 23:45:52	TRUE	"979806469863432192"	"979867335732338696"	"17870492"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"14"	"He is using the seatback TV map to lecture the random middle seat guy about the industrial history of the rust belt… https://t.co/BpPucwRi7r"	FALSE	9	"jennifergardy"	2018-03-30 19:42:47	TRUE	"979802240314621952"	"979806162550837248"	"20478716"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"15"	"@KimInSingapore Thank cats it’s only a 4hr flight."	FALSE	1	"KimInSingapore"	2018-03-30 19:31:14	FALSE	"979802577473699840"	"979803254811893760"	"495660553"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"16"	"And he walked 19.5 miles in Tokyo yesterday, just so you know."	FALSE	6	"jennifergardy"	2018-03-30 19:27:12	FALSE	"979801863657635840"	"979802240314621952"	"20478716"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"17"	"This guy is so performative that now that his call is done, he’s explaining his phone to the random kid in the midd… https://t.co/JAfTdrybLe"	FALSE	6	"jennifergardy"	2018-03-30 19:25:42	TRUE	"979796593153949697"	"979801863657635840"	"20478716"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"18"	"I couldn’t stop telling people about this article yesterday and now I am on a plane literally next to one of these… https://t.co/Egu7O4LU6x"	FALSE	87	NA	2018-03-30 19:04:46	TRUE	NA	"979796593153949697"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	13	FALSE	FALSE	NA	NA
"19"	"The @ASMicrobiology JMBE special issue on Science Communication is live! Check out https://t.co/3Jn0cPAYU0 for lots… https://t.co/fcyT3JLLLT"	FALSE	22	NA	2018-03-30 19:02:40	TRUE	NA	"979796064168329216"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	17	FALSE	FALSE	NA	NA
"20"	"@drex And Danny! I’m so glad we got to talk cat crap too last night. https://t.co/kSq1mdH0Oi"	FALSE	1	"drex"	2018-03-30 18:59:33	FALSE	"979776353632321537"	"979795280408199168"	"19044933"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"21"	"@drex Awwww! So sweet :) Here’s our two together: https://t.co/DN1gK0ow2M"	FALSE	1	"drex"	2018-03-30 18:59:31	FALSE	"979776353632321537"	"979795273714089984"	"19044933"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
"22"	"@drex Oh Carl, indeed! He’s a good boy. ❤️❤️❤️"	FALSE	1	"drex"	2018-03-30 07:22:00	FALSE	"979617193431220224"	"979619739440852992"	"19044933"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jennifergardy"	0	FALSE	FALSE	NA	NA
