"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"1"	"My kids have mastered the Southern passive-aggressive classic, ‚ÄúI‚Äôm gonna let you do X‚Äù.
‚ÄúI‚Äôm gonna let you ‚Ä¶ clean‚Ä¶ https://t.co/BbkVLaSSFI"	FALSE	13	NA	2018-04-05 04:18:18	TRUE	NA	"981747836952895488"	NA	"<a href=\"http://tapbots.com/software/tweetbot/mac\" rel=\"nofollow\">Tweetbot for Mac</a>"	"JennyBryan"	0	FALSE	FALSE	NA	NA
"2"	"@Ng_Dave @rctatman @kaggle To be clear, this suggestion is to share it ‚Äúas is‚Äù and let budding data cleaners take a‚Ä¶ https://t.co/sQx3VRW8CA"	FALSE	5	"Ng_Dave"	2018-04-04 18:48:56	TRUE	"981603786350186496"	"981604548144869376"	"91375691"	"<a href=\"http://tapbots.com/software/tweetbot/mac\" rel=\"nofollow\">Tweetbot for Mac</a>"	"JennyBryan"	0	FALSE	FALSE	NA	NA
"3"	"@rctatman @kaggle yo @Ng_Dave you should totally contribute your Halloween Candy Survey Data! Great insights are th‚Ä¶ https://t.co/2gvK0FN7Mn"	FALSE	3	"rctatman"	2018-04-04 18:19:29	TRUE	"981580342707421184"	"981597138898493440"	"101609102"	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"JennyBryan"	1	FALSE	FALSE	NA	NA
"4"	"While you‚Äôre still basking in the glow of March Madness, check out the Historical Basketball League.  A lot of thin‚Ä¶ https://t.co/iRLDMYhPvT"	FALSE	15	NA	2018-04-04 03:27:43	TRUE	NA	"981372718690938880"	NA	"<a href=\"http://tapbots.com/software/tweetbot/mac\" rel=\"nofollow\">Tweetbot for Mac</a>"	"JennyBryan"	8	FALSE	FALSE	NA	NA
"5"	"@StatsInTheWild @NCAA I feel like you should connect to my friend @andyhre"	FALSE	1	"StatsInTheWild"	2018-04-04 03:15:46	FALSE	"981366813664727040"	"981369710741635072"	"24096463"	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"JennyBryan"	0	FALSE	FALSE	NA	NA
"6"	"@ucdlevy @IsabellaGhement it sounds interesting! I think the webinar has to stay focused on more common tasks, but‚Ä¶ https://t.co/O9lXemZTAN"	FALSE	1	"ucdlevy"	2018-04-04 03:04:01	TRUE	"981354830215053312"	"981366754621272066"	"616279187"	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"JennyBryan"	0	FALSE	FALSE	NA	NA
"7"	"@gvwilson you have so many friends who would ABSOLUTELY LOVE to talk to you about R Ì†æÌ¥ó"	FALSE	7	"gvwilson"	2018-04-04 00:47:48	FALSE	"981286924429258752"	"981332474176286720"	"21506708"	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"JennyBryan"	0	FALSE	FALSE	NA	NA
"8"	"@barnicas You have to update us tomorrow re: how the Casual Castle Driving saga ends. We‚Äôre emotionally invested now."	FALSE	3	"barnicas"	2018-04-03 19:51:48	FALSE	"981256405004013568"	"981257980665503744"	"3987527873"	"<a href=\"http://tapbots.com/software/tweetbot/mac\" rel=\"nofollow\">Tweetbot for Mac</a>"	"JennyBryan"	0	FALSE	FALSE	NA	NA
"9"	"@github any chance that Saved Replies could be 1) accessible via the API 2) stored for a repo or an organization (i‚Ä¶ https://t.co/L4aoZgU10d"	FALSE	0	"github"	2018-04-03 17:09:19	TRUE	NA	"981217090232135680"	"13334762"	"<a href=\"http://tapbots.com/software/tweetbot/mac\" rel=\"nofollow\">Tweetbot for Mac</a>"	"JennyBryan"	0	FALSE	FALSE	NA	NA
"10"	"@texastacos I don‚Äôt want the sum, that was just for example-making purposes.

I‚Äôm adding a variable to df A based o‚Ä¶ https://t.co/YiKvno7kdR"	FALSE	2	"texastacos"	2018-04-03 15:38:18	TRUE	"981193173027270656"	"981194187738570753"	"2149793731"	"<a href=\"http://tapbots.com/software/tweetbot/mac\" rel=\"nofollow\">Tweetbot for Mac</a>"	"JennyBryan"	0	FALSE	FALSE	NA	NA
