"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"1"	"Mike Myers brings back Dr. Evil to talk about getting fired from the Trump Administration https://t.co/mWojY8IfDU #Fallon #DrEVIL"	FALSE	827	NA	2018-04-05 12:00:35	FALSE	NA	"981864173088002048"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jimmyfallon"	150	FALSE	FALSE	NA	NA
"2"	"Find out why Dr. Evil has become the newest member of the Trump Administration to be fired. #Fallon #NBC #DrEVIL… https://t.co/kkcCxr1DG7"	FALSE	2458	NA	2018-04-05 03:34:05	TRUE	NA	"981736707744772096"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	278	FALSE	FALSE	NA	NA
"3"	"It was so bizarre to see Dr. Evil walking around the hallways tonight before the show. I’m one of the biggest… https://t.co/cL2NzU8LUR"	FALSE	1489	"jimmyfallon"	2018-04-05 03:02:05	TRUE	"981721285402288128"	"981728654005886979"	"15485441"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	91	FALSE	FALSE	NA	NA
"4"	"Let me know your favorite line from tonight’s monologue. Watch the first 10 minutes of @FallonTonight. #DrEVIL… https://t.co/PETwKCaazD"	FALSE	982	NA	2018-04-05 02:57:47	TRUE	NA	"981727573356040192"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	84	FALSE	FALSE	NA	NA
"5"	"Oh - just so you know Dr.Evil will be in the monologue tonight. NBD. Watch the first 10 minutes of the Tonight Show… https://t.co/72aUOSgt5U"	FALSE	3971	NA	2018-04-05 02:32:48	TRUE	NA	"981721285402288128"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	375	FALSE	FALSE	NA	NA
"6"	"I once had a roommate who got so mad at everyone’s dirty dishes that he bought his own set of silverware and wrote… https://t.co/sscKCurUnN"	FALSE	8277	NA	2018-04-04 18:50:15	TRUE	NA	"981604881273360384"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jimmyfallon"	452	FALSE	FALSE	NA	NA
"7"	"It's Hashtags time! Tweet out a funny, weird, or embarrassing story about a roommate you've had and tag it with… https://t.co/tHiBf9NiNj"	FALSE	2197	NA	2018-04-04 18:48:51	TRUE	NA	"981604528138092544"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jimmyfallon"	192	FALSE	FALSE	NA	NA
"8"	"Tonight on the show: Mike Myers, @abbijacobson, and music from @asvpxrocky! #FallonTonight"	FALSE	1629	NA	2018-04-04 13:03:46	FALSE	NA	"981517685669416960"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jimmyfallon"	160	FALSE	FALSE	NA	NA
"9"	".@JohnKrasinski talks about his new horror film #AQuietPlace https://t.co/jJFwcEmqhF #FallonTonight"	FALSE	1223	NA	2018-04-04 12:38:44	FALSE	NA	"981511387154407425"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jimmyfallon"	99	FALSE	FALSE	NA	NA
"10"	"Yeessssss!! I’m in. I’m in. I’m in. Let’s make a record. #LegallyBindingTwitterContract https://t.co/5SeeIBoh1o"	FALSE	2155	NA	2018-04-03 19:36:36	FALSE	NA	"981254157100253185"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	139	FALSE	FALSE	NA	NA
"11"	"Dream come true. See you Monday @iamcardib!! #Reunited #InvasionofPrivacy #NewRecordAlert"	FALSE	2020	NA	2018-04-03 19:33:35	FALSE	NA	"981253397432107008"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	160	FALSE	FALSE	NA	NA
"12"	"Tonight on the show: @johnkrasinski is here, @abigailspencer stops by, and @JadeBirdMusic performs!"	FALSE	1872	NA	2018-04-03 13:41:33	FALSE	NA	"981164803753431041"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jimmyfallon"	167	FALSE	FALSE	NA	NA
"13"	"Peter and His Heckler - \"The River of Dreams\" (with @RealTracyMorgan) https://t.co/cSeAVIAjUL #FallonTonight"	FALSE	1067	NA	2018-04-03 12:07:12	FALSE	NA	"981141062835109888"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jimmyfallon"	118	FALSE	FALSE	NA	NA
"14"	"Vanderpump Rules?"	FALSE	3266	"jimmyfallon"	2018-04-03 01:52:20	FALSE	"980985178297430018"	"980986325074612224"	"15485441"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	154	FALSE	FALSE	NA	NA
"15"	"Just watched #AQuietPlace. Congrats @johnkrasinski, I can’t sleep and I’m all out of Gilmore Girls to watch to clea… https://t.co/pgzKn8Xd0x"	FALSE	15232	NA	2018-04-03 01:47:46	TRUE	NA	"980985178297430018"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	1463	FALSE	FALSE	NA	NA
"16"	"Excited to be back this week with new shows! Tonight: @RealTracyMorgan, @katemara, and music from @iamchrislane ft.… https://t.co/4EyKKwEkej"	FALSE	2013	NA	2018-04-02 13:27:46	TRUE	NA	"980798950537154561"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jimmyfallon"	147	FALSE	FALSE	NA	NA
"17"	"Happy Easter!!!"	FALSE	27079	NA	2018-04-01 13:21:48	FALSE	NA	"980435058954788865"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	1736	FALSE	FALSE	NA	NA
"18"	"Lookin’ gooooood. https://t.co/QQNw79QK1d"	FALSE	1661	NA	2018-03-28 12:59:23	FALSE	NA	"978979867797618688"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	149	FALSE	FALSE	NA	NA
"19"	"I love youz too!! https://t.co/Jq0W4W7Uvk"	FALSE	2187	NA	2018-03-27 04:10:39	FALSE	NA	"978484420737929216"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	165	FALSE	FALSE	NA	NA
"20"	"@agoggans @awlasky @FallonTonight Ahhhhhhhhhhhhhh. https://t.co/RUJGxx6oug"	FALSE	226	"agoggans"	2018-03-27 04:01:28	FALSE	"977969055591256065"	"978482109785485313"	"22603614"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	33	FALSE	FALSE	NA	NA
"21"	"I loved meeting up with you guys!! What a day?!?! What. A. Day. https://t.co/NXd1Xyy1Dn"	FALSE	5535	NA	2018-03-27 04:00:19	FALSE	NA	"978481818147139584"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	259	FALSE	FALSE	NA	NA
"22"	"Oh - this is maj! @benandjerrys #TonightDough - all of my proceeds go to @SeriousFunCamps. Eat with pride. https://t.co/SEa20i7tix"	FALSE	1169	NA	2018-03-27 03:50:58	FALSE	NA	"978479466958786560"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	120	FALSE	FALSE	NA	NA
"23"	"Today is @AMarch4OurLives. I’m partnering with @MTV and @NAACP to sponsor a bus full of smart young young people tr… https://t.co/39rLIzmsIp"	FALSE	13623	NA	2018-03-24 10:31:38	TRUE	NA	"977493133050220544"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	1516	FALSE	FALSE	NA	NA
"24"	"This cameras were real. Not just a funny bit. Will goes for it. Should be a cool experience. Subscribe. ������"	FALSE	1407	"jimmyfallon"	2018-03-24 10:21:11	FALSE	"977487865843154945"	"977490502630166530"	"15485441"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	88	FALSE	FALSE	NA	NA
"25"	"What is it like to make an entrance through the curtain on the Tonight Show? What is it like to be Will Smith? (for… https://t.co/bxHILj20uq"	FALSE	1933	NA	2018-03-24 10:10:42	TRUE	NA	"977487865843154945"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	159	FALSE	FALSE	NA	NA
"26"	"When your kids idols become yours. Thank you #PawPatrolLive #NationalPuppyDay https://t.co/ES3ujqn2HV"	FALSE	5204	NA	2018-03-23 17:01:19	FALSE	NA	"977228811355000832"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	362	FALSE	FALSE	NA	NA
"27"	"Happy #ThankYouNoteFriday! Tonight: @tylerperry is here, @jimjefferies stops by &amp; stand-up from @JoeListComedy! #FallonTonight"	FALSE	1063	NA	2018-03-23 14:16:48	FALSE	NA	"977187408503590912"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jimmyfallon"	101	FALSE	FALSE	NA	NA
"28"	"History of TV Theme Songs with Will Smith https://t.co/ETXeo2wuCo #FallonTonight"	FALSE	1818	NA	2018-03-23 12:24:36	FALSE	NA	"977159175791874049"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jimmyfallon"	308	FALSE	FALSE	NA	NA
"29"	"Will Smith always brings it. Golden Girls? Check. Good Times? Check. Cheers? Check. Fresh Prince? ... https://t.co/1J54TEb0QM"	FALSE	5213	NA	2018-03-23 04:36:37	FALSE	NA	"977041401962692610"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	563	FALSE	FALSE	NA	NA
"30"	"@zoeydeutch 3. You must do that in a movie. Congrats on Flower!"	FALSE	147	"zoeydeutch"	2018-03-22 15:08:40	FALSE	"976836180816867334"	"976838075895697410"	"160272734"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	19	FALSE	FALSE	NA	NA
"31"	"Oh no!!! I meant to say that your mom starred in HTD!!! Ugh. Sorry. Ah well - you have very talented parents. You c… https://t.co/bb2yioFEAo"	FALSE	1425	NA	2018-03-22 15:07:26	TRUE	NA	"976837763831095296"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	91	FALSE	FALSE	NA	NA
"32"	"He didn’t even need cue cards!#Ducktales fan."	FALSE	1810	"jimmyfallon"	2018-03-22 14:10:34	FALSE	"976793892950609921"	"976823452702257152"	"15485441"	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	143	FALSE	FALSE	NA	NA
"33"	"Come back anytime. Thank you!! https://t.co/99N1pXRLkG"	FALSE	822	NA	2018-03-22 13:56:04	FALSE	NA	"976819804345692161"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	77	FALSE	FALSE	NA	NA
"34"	"Tonight: Will Smith is here and we've got a big surprise planned, Fran Lebowitz stops by, and @billieeilish perform… https://t.co/ngERUIpHuP"	FALSE	2454	NA	2018-03-22 13:54:01	TRUE	NA	"976819288395960321"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jimmyfallon"	255	FALSE	FALSE	NA	NA
"35"	".@PanicAtTheDisco's @BrendonUrie sings the DuckTales theme song! https://t.co/i5g7i4qEor #FallonTonight"	FALSE	4354	NA	2018-03-22 12:13:06	FALSE	NA	"976793892950609921"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jimmyfallon"	880	FALSE	FALSE	NA	NA
"36"	". @ShawnMendes it’s a goodie. https://t.co/BlFBRoyaQU"	FALSE	14596	NA	2018-03-22 10:47:02	FALSE	NA	"976772233321504774"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	2898	FALSE	FALSE	NA	NA
"37"	"Thank you. https://t.co/7nwUTNIIVi"	FALSE	1932	NA	2018-03-22 03:32:45	FALSE	NA	"976662943575236608"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	107	FALSE	FALSE	NA	NA
"38"	"Great stuff on tonight - suggestion box and @brendonurie - @jayleno surprises and #Ducktails.#FallonOnNBC #snowday"	FALSE	6292	NA	2018-03-22 03:31:48	FALSE	NA	"976662701832376321"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	747	FALSE	FALSE	NA	NA
"39"	"Check out the show tonight. #Fallon #Leno surprise #Panicatthedisco #NewSong #Ducktales"	FALSE	1382	NA	2018-03-22 03:25:58	FALSE	NA	"976661236539633664"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	134	FALSE	FALSE	NA	NA
"40"	"Check out the show tonight! #Fallon https://t.co/bHZ9Gb5iJk"	FALSE	750	NA	2018-03-22 03:24:03	FALSE	NA	"976660752336670720"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"jimmyfallon"	60	FALSE	FALSE	NA	NA
