"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"1"	"On this day 50 years ago, they tried to silence his voice, but the #DreamStillLives ‚úåÌ†ºÌøª https://t.co/XMocaecbyI"	FALSE	7811	NA	2018-04-05 00:15:00	FALSE	NA	"981686605285965824"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"katyperry"	1371	FALSE	FALSE	NA	NA
"2"	"was feeling homesick today, being on this leg of tour for over 4 weeks now and then I put on @KaceyMusgraves‚Äôs new‚Ä¶ https://t.co/pb3WJ2hqIw"	FALSE	17271	NA	2018-04-04 10:42:50	TRUE	NA	"981482218584338433"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"katyperry"	1890	FALSE	FALSE	NA	NA
"3"	"‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è @maddiezahm ‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è #americanidol"	FALSE	3848	NA	2018-04-03 04:52:32	FALSE	NA	"981031673566384128"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"katyperry"	431	FALSE	FALSE	NA	NA
"4"	"You‚Äôre not going to miss this dance @effiepassero. #americanidol"	FALSE	3153	NA	2018-04-03 04:51:45	FALSE	NA	"981031477142994944"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"katyperry"	375	FALSE	FALSE	NA	NA
"5"	"\m/ @CadeFoehner \m/ Keep that feather, keep catching those dreams. #americanidol"	FALSE	3012	NA	2018-04-03 04:40:49	FALSE	NA	"981028725146832896"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"katyperry"	382	FALSE	FALSE	NA	NA
"6"	"HONEY! Ì†ºÌΩØ #americanidol"	FALSE	5606	NA	2018-04-03 04:29:30	FALSE	NA	"981025878724374528"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"katyperry"	579	FALSE	FALSE	NA	NA
"7"	"Ì†ΩÌ±ÇÌ†ºÌøª@calebleemusic WE ARE LISTENING Ì†ΩÌ±ÇÌ†ºÌøªAND WE LIKE WHAT WE HEAR! #americanidol"	FALSE	2873	NA	2018-04-03 04:27:30	FALSE	NA	"981025372740321281"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"katyperry"	355	FALSE	FALSE	NA	NA
"8"	"‚ú®@MaraJustine1 There‚Äôs not just glitter on your nails Ì†ΩÌ≤ÖÌ†ºÌøº It‚Äôs in every pore, and it comes out every time you sing ‚ú® #americanidol"	FALSE	2845	NA	2018-04-03 04:20:09	FALSE	NA	"981023525799526407"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"katyperry"	358	FALSE	FALSE	NA	NA
"9"	".@JonnyBrenns If your family being here meant that much to ME, I can only imagine how it felt to you. Nearly cried‚Ä¶ https://t.co/Jr1dJ22GCV"	FALSE	2911	NA	2018-04-03 04:14:52	TRUE	NA	"981022196515532800"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"katyperry"	373	FALSE	FALSE	NA	NA
"10"	"You DO belong here! And anywhere you want! @AdaVox #thatruntho #americanidol https://t.co/GX8B2CspFg"	FALSE	3468	NA	2018-04-03 04:06:00	FALSE	NA	"981019963711397889"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"katyperry"	466	FALSE	FALSE	NA	NA
