Taxa,T_2_1,T_2_10,T_2_12,T_2_2,T_2_3,T_2_6,T_2_7,T_2_9,T_3_2,T_3_3,T_3_5,T_4_3,T_4_4,T_4_5,T_4_6,T_4_7,T_5_2,T_5_3,T_5_4,T_5_5,T_6_2,T_6_5,T_6_7,T_6_8,T_9_1,T_9_2,T_9_3,T_9_4,T_9_5,V_1_2,V_10_1,V_11_1,V_11_2,V_11_3,V_12_1,V_12_2,V_13_1,V_13_2,V_14_1,V_14_2,V_14_3,V_15_1,V_15_2,V_15_3,V_16_1,V_16_2,V_17_1,V_17_2,V_18_1,V_18_2,V_18_3,V_18_4,V_19_1,V_19_2,V_19_3,V_2_1,V_2_2,V_2_3,V_20_1,V_21_1,V_21_4,V_22_1,V_22_3,V_22_4,V_3_1,V_3_2,V_4_1,V_4_2,V_5_1,V_5_3,V_6_1,V_6_2,V_6_3,V_7_1,V_7_2,V_7_3,V_8_2,V_9_1,V_9_2,V_9_3,V_9_4
Acidobacteria_Gp1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,18,0,38
Acidobacteria_Gp10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,9,0,0,0,0,0
Acidobacteria_Gp14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17
Acidobacteria_Gp16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteria_Gp17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteria_Gp18,0,0,0,2,2,5,0,15,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acidobacteria_Gp21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0
Acidobacteria_Gp22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Acidobacteria_Gp3,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,11,0,1,68,0,0,0,0,19
Acidobacteria_Gp4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,2,0,0,0,0,1,0,0,8,0,0,0,0,0
Acidobacteria_Gp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Acidobacteria_Gp6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,11,0,0,2,0,0,0,0,0,0,37,0,3,0,3,0,3,0,2,0,0,8,0,13,42,1,0,0,0,5
Acidobacteria_Gp7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteria_Gp9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,110,3,5,240,414,227,1,811,89,36,7,498,573,1345,444,57,120,139,20,6,2,3,160,193,0,2,2,6,4,182,94,5182,452,2364,1572,492,25,214,77,2,87,237,379,273,138,391,112,248,116,77,288,683,313,221,352,15,1717,260,425,608,160,1771,751,387,2312,2649,30,70,12,1671,1367,779,2280,376,1005,337,675,84,870,6,273
Alphaproteobacteria,11,0,2,21,11,49,0,71,13,11,0,112,65,138,42,4,10,10,0,1,1,1,21,108,0,4,13,11,3,87,12,1326,243,2564,195,185,25,184,90,0,76,120,404,336,27,22,24,89,10,14,441,865,196,109,656,14,532,90,317,127,67,1122,240,507,7322,8660,62,153,6,602,410,592,589,90,632,510,1000,27,122,1,411
