"Taxa","Country","Latrine_Number","Depth","OTUs"
"Acidobacteria_Gp1","T","2","1",0
"Acidobacteria_Gp10","T","2","1",0
"Acidobacteria_Gp14","T","2","1",0
"Acidobacteria_Gp16","T","2","1",0
"Acidobacteria_Gp17","T","2","1",0
"Acidobacteria_Gp18","T","2","1",0
"Acidobacteria_Gp21","T","2","1",0
"Acidobacteria_Gp22","T","2","1",0
"Acidobacteria_Gp3","T","2","1",0
"Acidobacteria_Gp4","T","2","1",0
"Acidobacteria_Gp5","T","2","1",0
"Acidobacteria_Gp6","T","2","1",0
"Acidobacteria_Gp7","T","2","1",0
"Acidobacteria_Gp9","T","2","1",0
"Actinobacteria","T","2","1",110
"Alphaproteobacteria","T","2","1",11
"Anaerolineae","T","2","1",2
"Bacilli","T","2","1",19
"Bacteroidia","T","2","1",1547
"Betaproteobacteria","T","2","1",2
"Caldilineae","T","2","1",0
"Chlamydiae","T","2","1",0
"Chloroflexi","T","2","1",0
"Chrysiogenetes","T","2","1",0
"Clostridia","T","2","1",6213
"Cyanobacteria","T","2","1",0
"Dehalococcoidetes","T","2","1",0
"Deinococci","T","2","1",0
"Deltaproteobacteria","T","2","1",0
"Epsilonproteobacteria","T","2","1",0
"Erysipelotrichi","T","2","1",433
"Fibrobacteria","T","2","1",0
"Flavobacteria","T","2","1",1
"Fusobacteria","T","2","1",0
"Gammaproteobacteria","T","2","1",23
"Gemmatimonadetes","T","2","1",0
"Holophagae","T","2","1",0
"Lentisphaeria","T","2","1",0
"Methanobacteria","T","2","1",0
"Methanomicrobia","T","2","1",0
"Mollicutes","T","2","1",3
"Nitrospira","T","2","1",0
"Opitutae","T","2","1",0
"Planctomycetacia","T","2","1",0
"Sphingobacteria","T","2","1",2
"Spirochaetes","T","2","1",62
"Subdivision3","T","2","1",0
"Synergistia","T","2","1",21
"Thermomicrobia","T","2","1",0
"Thermoplasmata","T","2","1",0
"Thermotogae","T","2","1",0
"Unknown","T","2","1",759
"Acidobacteria_Gp1","T","2","10",0
"Acidobacteria_Gp10","T","2","10",0
"Acidobacteria_Gp14","T","2","10",0
"Acidobacteria_Gp16","T","2","10",0
"Acidobacteria_Gp17","T","2","10",0
"Acidobacteria_Gp18","T","2","10",0
"Acidobacteria_Gp21","T","2","10",0
"Acidobacteria_Gp22","T","2","10",0
"Acidobacteria_Gp3","T","2","10",0
"Acidobacteria_Gp4","T","2","10",0
"Acidobacteria_Gp5","T","2","10",0
"Acidobacteria_Gp6","T","2","10",0
"Acidobacteria_Gp7","T","2","10",0
"Acidobacteria_Gp9","T","2","10",0
"Actinobacteria","T","2","10",3
"Alphaproteobacteria","T","2","10",0
"Anaerolineae","T","2","10",0
"Bacilli","T","2","10",60
"Bacteroidia","T","2","10",8
"Betaproteobacteria","T","2","10",0
"Caldilineae","T","2","10",0
"Chlamydiae","T","2","10",0
"Chloroflexi","T","2","10",0
"Chrysiogenetes","T","2","10",0
"Clostridia","T","2","10",71
"Cyanobacteria","T","2","10",0
"Dehalococcoidetes","T","2","10",0
"Deinococci","T","2","10",0
"Deltaproteobacteria","T","2","10",0
"Epsilonproteobacteria","T","2","10",0
"Erysipelotrichi","T","2","10",0
"Fibrobacteria","T","2","10",0
"Flavobacteria","T","2","10",0
"Fusobacteria","T","2","10",0
"Gammaproteobacteria","T","2","10",30
"Gemmatimonadetes","T","2","10",0
"Holophagae","T","2","10",0
"Lentisphaeria","T","2","10",0
"Methanobacteria","T","2","10",0
"Methanomicrobia","T","2","10",0
"Mollicutes","T","2","10",0
"Nitrospira","T","2","10",0
"Opitutae","T","2","10",0
"Planctomycetacia","T","2","10",0
"Sphingobacteria","T","2","10",0
