Country,Latrine_Number,Depth,pH,Temp,TS,CODt
Tanzania,2,1,7.82,25.1,14.53,874
Tanzania,2,10,9.08,24.2,37.76,102
Tanzania,2,12,8.84,25.1,71.11,35
Tanzania,2,2,6.49,29.6,13.91,389
Tanzania,2,3,6.46,27.9,29.45,161
Tanzania,2,6,7.69,28.7,65.52,57
Tanzania,2,7,7.48,29.8,36.03,107
Tanzania,2,9,7.6,25,46.87,62
Tanzania,3,2,7.55,28.8,12.65,384
Tanzania,3,3,7.68,28.9,14.65,372
Tanzania,3,5,7.69,28.7,14.87,315
Tanzania,4,3,7.74,25.8,35.53,143
Tanzania,4,4,7.84,26.3,28.85,178
Tanzania,4,5,7.95,27.9,46.85,104
Tanzania,4,6,7.58,30.1,38.38,135
Tanzania,4,7,7.68,28.3,26.54,175
Tanzania,5,2,7.58,29.5,12.48,405
Tanzania,5,3,7.53,27.5,12.55,447
Tanzania,5,4,7.4,29.4,15.1,388
Tanzania,5,5,7.42,28.3,12.3,406
Tanzania,6,2,7.77,27.9,46.87,97
Tanzania,6,5,8.96,30.2,38.12,130
Tanzania,6,7,8.09,31.7,68.33,61
Tanzania,6,8,8.26,29.7,64.9,71
Tanzania,9,1,7.85,29.3,9.12,513
Tanzania,9,2,7.86,28.5,13.56,524
Tanzania,9,3,8.35,29.5,12.67,158
Tanzania,9,4,8.43,29.5,58.76,80
Tanzania,9,5,7.9,29.3,56.12,65
Vietnam,1,2,6.67,29.2,43.3,132
Vietnam,10,1,9.12,18.6,46.3,456
Vietnam,11,1,9,18.5,63,60
Vietnam,11,2,9.64,18.3,56.7,240
Vietnam,11,3,8.45,18.2,55.2,105
Vietnam,12,1,9.16,19.6,56.6,135
Vietnam,12,2,9.54,18.3,49,338
Vietnam,13,1,8.58,19,26,789
Vietnam,13,2,7.98,18.6,46.8,461
Vietnam,14,1,7.21,20,37.8,549
Vietnam,14,2,7.74,18.5,51.7,350
Vietnam,14,3,8.5,19.1,55.8,352
Vietnam,15,1,7.44,18.9,25.4,798
Vietnam,15,2,8.36,17.9,32.8,619
Vietnam,15,3,8.15,18.8,31.8,570
Vietnam,16,1,7.83,17.7,25.1,1111
Vietnam,16,2,6.26,16.3,24,855
Vietnam,17,1,7.39,15.7,25.3,813
Vietnam,17,2,8.14,15.4,25.6,994
Vietnam,18,1,7.09,22.5,35.1,767
Vietnam,18,2,8.54,24.9,34.9,322
Vietnam,18,3,8.37,21.4,35.5,388
Vietnam,18,4,8.25,19.4,29.9,886
Vietnam,19,1,7.19,17.6,24.8,693
Vietnam,19,2,7.68,17.4,31.8,760
Vietnam,19,3,7.38,16.6,37,338
Vietnam,2,1,9.42,21.3,63.4,196
Vietnam,2,2,9.4,20.7,51.6,325
Vietnam,2,3,9.15,20.8,44.2,106
Vietnam,20,1,9.04,17,9.6,858
Vietnam,21,1,10.09,17.7,65.3,47
Vietnam,21,4,9.58,17.1,40.1,114
Vietnam,22,1,7.14,16.8,58.1,108
Vietnam,22,3,6.67,17.1,84.4,38
Vietnam,22,4,6.79,15.9,80.6,31
Vietnam,3,1,8.9,22.4,56.2,141
Vietnam,3,2,8.08,20.7,52,170
Vietnam,4,1,9.49,22.6,36.1,333
Vietnam,4,2,7.81,20.9,47.2,135
Vietnam,5,1,7.35,24.3,49.7,355
Vietnam,5,3,9.47,20.7,63.6,164
Vietnam,6,1,8.99,22.9,56.6,313
Vietnam,6,2,8.46,24.2,58.9,294
Vietnam,6,3,8.08,22.8,55.2,323
Vietnam,7,1,7.85,25.8,60.6,188
Vietnam,7,2,8.11,25.8,73.9,242
Vietnam,7,3,7.41,23.7,59.4,183
Vietnam,8,2,9.3,19.5,36.8,82
Vietnam,9,1,7.3,18.8,31.3,203
Vietnam,9,2,4.04,20.5,32,226
Vietnam,9,3,4.36,19.9,92.6,105
Vietnam,9,4,4.3,19.8,36.5,296
