"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"1"	"Our Veterans were there for Canada when we needed them - and we must always be there for them. https://t.co/9VOXKNo3GG"	FALSE	1099	NA	2018-04-05 02:30:20	FALSE	NA	"981720662703144965"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"JustinTrudeau"	210	FALSE	FALSE	NA	NA
"2"	"Nos anciens combattants ont été là pour le Canada quand nous en avons eu besoin - et nous devons toujours être là p… https://t.co/RVvzAArQty"	FALSE	150	NA	2018-04-05 02:30:03	TRUE	NA	"981720591852949504"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"JustinTrudeau"	34	FALSE	FALSE	NA	NA
"3"	"We can achieve a lot when we work together with labour &amp; business - this afternoon, I met with L7 labour leaders to… https://t.co/WpzYO2dov8"	FALSE	548	NA	2018-04-05 02:17:40	TRUE	NA	"981717476529455104"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"JustinTrudeau"	113	FALSE	FALSE	NA	NA
"4"	"Nous pouvons réaliser beaucoup de choses en travaillant avec les syndicats et le patronat – aujourd’hui, j’ai renco… https://t.co/PiWOWE3rVF"	FALSE	167	NA	2018-04-05 02:17:11	TRUE	NA	"981717353036574720"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"JustinTrudeau"	28	FALSE	FALSE	NA	NA
"5"	"Kicking off @cancersociety’s #DaffodilMonth with Tyra and Sabrina in Ottawa this morning. Find out how you can… https://t.co/6Lo6qpCYo5"	FALSE	669	NA	2018-04-05 02:07:19	TRUE	NA	"981714870931304448"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"JustinTrudeau"	109	FALSE	FALSE	NA	NA
"6"	"Lancement du #MoisDeLaJonquille de la @SCC_Quebec avec Tyra et Sabrina à Ottawa ce matin. #JoignezVousAuCombat cont… https://t.co/3PR88KKjTs"	FALSE	232	NA	2018-04-05 02:06:37	TRUE	NA	"981714695324254208"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"JustinTrudeau"	43	FALSE	FALSE	NA	NA
"7"	"On Easter Sunday, a day of celebration for Christians, two churches in Halifax were vandalised. This type of hatefu… https://t.co/meBUPctq8W"	FALSE	2290	NA	2018-04-05 01:36:50	TRUE	NA	"981707198576312320"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"JustinTrudeau"	418	FALSE	FALSE	NA	NA
"8"	"Le dimanche de Pâques, jour de fête pour les chrétiens, deux églises d’Halifax ont été vandalisées. Les comportemen… https://t.co/rVPD9N6sfb"	FALSE	215	NA	2018-04-05 01:36:07	TRUE	NA	"981707021631111168"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"JustinTrudeau"	49	FALSE	FALSE	NA	NA
"9"	"Canada has always been a strong @NATO member - and will continue to be. Thanks to @jensstoltenberg for the meeting… https://t.co/MyoM0EbNjz"	FALSE	965	NA	2018-04-05 00:33:54	TRUE	NA	"981691361370882048"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"JustinTrudeau"	243	FALSE	FALSE	NA	NA
"10"	"Le Canada a toujours été et continuera d'être un membre solide de @NATO. Merci à @jensstoltenberg de nous avoir ren… https://t.co/gsUeA3ZWri"	FALSE	136	NA	2018-04-05 00:33:28	TRUE	NA	"981691255259250688"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"JustinTrudeau"	19	FALSE	FALSE	NA	NA
